source_url	parsed_url
https://1.1.1.1/	https://1111-releases.cloudflareclient.com/mac/latest
https://1.1.1.1/	https://1.1.1.1/nl-NL/
https://1.1.1.1/	https://1.1.1.1
https://1.1.1.1/	https://1.1.1.1/dns/
https://1.1.1.1/	https://1.1.1.1/fa-IR/
https://1.1.1.1/	https://blog.cloudflare.com/warp-for-desktop
https://1.1.1.1/	https://play.google.com/store/apps/details?id=com.cloudflare.onedotonedotonedotone
https://1.1.1.1/	https://twitter.com/intent/tweet?text=ISPs%20spy%20on%20your%20Internet%20traffic%20and%20sell%20the%20data.%20I%27m%20using%201.1.1.1%20with%20WARP%2C%20a%20free%20app%20which%20makes%20the%20Internet%20on%20my%20phone%20faster%20and%20more%20private.%20You%20should%20get%20the%20app%20too%3A%20https%3A//one.one.one.one
https://1.1.1.1/	https://1.1.1.1/fr-FR/
https://1.1.1.1/	https://1.1.1.1/uk-UA/
https://1.1.1.1/	https://1.1.1.1/family/
https://1.1.1.1/	https://1.1.1.1/it-IT/
https://1.1.1.1/	https://itunes.apple.com/us/app/1-1-1-1-faster-internet/id1423538627
https://1.1.1.1/	https://1.1.1.1/pl-PL/
https://1.1.1.1/	https://1.1.1.1/he-IL/
https://1.1.1.1/	https://1.1.1.1/zh-Hant/
https://1.1.1.1/	https://developers.cloudflare.com/warpclient/setting-up/linux/
https://1.1.1.1/	https://1.1.1.1/tr-TR/
https://1.1.1.1/	https://1.1.1.1/site-aa686e0e9e4d122550f8.css
https://1.1.1.1/	https://1.1.1.1/favicon.ico
https://1.1.1.1/	https://developers.cloudflare.com/warpclient/setting-up/windows/
https://1.1.1.1/	https://1.1.1.1/ko-KR/
https://1.1.1.1/	https://1.1.1.1/#a
https://1.1.1.1/	https://1.1.1.1/es-ES/
https://1.1.1.1/	https://1.1.1.1/ru-RU/
https://1.1.1.1/	https://1.1.1.1/id-ID/
https://1.1.1.1/	https://cloudflare.com
https://1.1.1.1/	https://developers.cloudflare.com/warpclient/setting-up/macOS/
https://1.1.1.1/	https://1111-releases.cloudflareclient.com/win/latest
https://1.1.1.1/	https://pkg.cloudflareclient.com/
https://1.1.1.1/	https://1.1.1.1/#b
https://1.1.1.1/	https://www.cloudflare.com/careers/departments/
https://1.1.1.1/	https://1.1.1.1/pt-BR/
https://1.1.1.1/	https://1.1.1.1/media/manifest.json
https://1.1.1.1/	https://1.1.1.1/de-DE/
https://1.1.1.1/	https://1.1.1.1/zh-Hans/
https://1.1.1.1/	https://1.1.1.1/ja-JP/
https://1.1.1.1/	https://1.1.1.1/ar-EG/
https://www.mediamatters.org/	https://www.mediamatters.org/corrections
https://www.mediamatters.org/	https://www.mediamatters.org/#youtube
https://www.mediamatters.org/	https://www.mediamatters.org/about
https://www.mediamatters.org/	https://www.mediamatters.org/cbs/trump-administrations-war-press-heating
https://www.mediamatters.org/	https://www.mediamatters.org/#instagram
https://www.mediamatters.org/	https://www.mediamatters.org/news-analysis
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/right-wing-media-are-celebrating-trumps-ban-trans-service-members-military
https://www.mediamatters.org/	https://www.mediamatters.org/rss.xml
https://www.mediamatters.org/	https://www.mediamatters.org/donald-trump/five-ways-maga-media-are-spinning-trumps-poll-collapse
https://www.mediamatters.org/	https://www.mediamatters.org/audio-video
https://www.mediamatters.org/	https://www.mediamatters.org/tariffs-trade/maga-media-followed-trump-administration-attacking-amazon-report-it-would-display
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/right-wing-media-spread-falsehoods-about-minnesotas-abortion-law-after-trumps-poor-debate
https://www.mediamatters.org/	https://www.mediamatters.org/cnn/cnn-and-msnbc-feature-trans-voices-coverage-historic-supreme-court-case
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/hannity-illinois-gov-jb-pritzker-all-threatened-half-country-violence
https://www.mediamatters.org/	https://www.mediamatters.org/take-action
https://www.mediamatters.org/	https://www.instagram.com/mediamattersforamerica/
https://www.mediamatters.org/	https://www.mediamatters.org/#video
https://www.mediamatters.org/	https://www.mediamatters.org/?page=0
https://www.mediamatters.org/	https://www.mediamatters.org/?page=1
https://www.mediamatters.org/	https://use.typekit.net/jqh3ujo.css
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-has-long-downplayed-impacts-overturning-roe
https://www.mediamatters.org/	https://www.mediamatters.org/sites/default/files/css/css_mIFEv-UUDw5T9QDXtAmOGIiTJR6hVubanCbpkl-gEAI.css?delta=4&amp;language=en&amp;theme=mmfa_theme&amp;include=eJxtUu1uwyAMfKGQSHuhygGXeAPMwPTj7eukkwZt_4B8NvbdmXqvgnFZoeKUCwvLPePiA68QphjPcJINIy5nTlJ74L0EHQkXgmAC1bG4ZhZBZyzkoUdpSchymjyzD3gS8IuXOIbgX-MZvuE29Ge7z41KAfRMbeAVgYKp5FMbplcSNIE9jzpZsEwZCvgCeauLKy1DmP-RuaXcVtW4oeufOhAMlNBYjhmsfPbmQ1JQ3S9qTnGjaXio0rXo4LjfceBa0QpxMkISsE8kFqvkzF_BdCG81uU458iuaXUPvbqZwasFHQCVHJo1sP155z0wkoLKdN9_DwfzpTtIHzRftXEPbxxxH99jTSiQ3E2CC3k4BPWNCiZHyb-tvSIUu5mVB214y1zRnblEsL9Nv8uzbiCB4JRb5JVGX5-J6fhmGBRJsvTBSR2C8AC1IUh2
https://www.mediamatters.org/	https://www.mediamatters.org/#arrow
https://www.mediamatters.org/	https://www.mediamatters.org/tariffs-trade/msnbcs-11th-hour-angelo-carusone-describes-how-right-wing-narrative-dominance-online
https://www.mediamatters.org/	https://www.mediamatters.org/archives
https://www.mediamatters.org/	https://www.mediamatters.org/#narrative
https://www.mediamatters.org/	https://www.mediamatters.org/project-2025/trump-administration-personnel-ties-project-2025
https://www.mediamatters.org/	https://www.mediamatters.org/google/right-dominates-online-media-ecosystem-seeping-sports-comedy-and-other-supposedly
https://www.mediamatters.org/	https://www.mediamatters.org/#main-content
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/stephen-miller-fox-news-needs-fire-its-pollster
https://www.mediamatters.org/	https://www.mediamatters.org/search
https://www.mediamatters.org/	https://www.mediamatters.org/lgbtq
https://www.mediamatters.org/	https://www.mediamatters.org/studies
https://www.mediamatters.org/	https://www.mediamatters.org/tim-walz/right-wing-media-attack-tim-walz-his-support-gun-safety-ignoring-horrific-mass-shootings
https://www.mediamatters.org/	https://www.mediamatters.org/sites/default/files/css/css_LWA-ianm3aSTE5bSgN2u5VkGWMbJYpfKnKPiYABvgv4.css?delta=1&amp;language=en&amp;theme=mmfa_theme&amp;include=eJxtUu1uwyAMfKGQSHuhygGXeAPMwPTj7eukkwZt_4B8NvbdmXqvgnFZoeKUCwvLPePiA68QphjPcJINIy5nTlJ74L0EHQkXgmAC1bG4ZhZBZyzkoUdpSchymjyzD3gS8IuXOIbgX-MZvuE29Ge7z41KAfRMbeAVgYKp5FMbplcSNIE9jzpZsEwZCvgCeauLKy1DmP-RuaXcVtW4oeufOhAMlNBYjhmsfPbmQ1JQ3S9qTnGjaXio0rXo4LjfceBa0QpxMkISsE8kFqvkzF_BdCG81uU458iuaXUPvbqZwasFHQCVHJo1sP155z0wkoLKdN9_DwfzpTtIHzRftXEPbxxxH99jTSiQ3E2CC3k4BPWNCiZHyb-tvSIUu5mVB214y1zRnblEsL9Nv8uzbiCB4JRb5JVGX5-J6fhmGBRJsvTBSR2C8AC1IUh2
